,companys,skills,pub_date
0,INFINITYGROUP,"python,css,django,html,bootstrap",1 day ago
1,IvanInfotechPvt.Ltd.,"rest,python,security,debugging",few days ago
2,eastindiasecuritiesltd.,"python,hadoop,machinelearning",few days ago
3,WingGlobalITServices,"springboot,python,java,django,jpa,hibernate",4 days ago
4,arttechnologyandsoftwareindiapvtltd,"rest,python,database,django,api",few days ago
5,RootInfoSolutions,"python2,python3,django,javascript,html,postgresql/mysql,restapi,celeryrabbitmq,redis.,css,oop",4 days ago
6,DREAMAJAXTECHNOLOGIES,"python,django,api,sql,nosql",few days ago
7,day1technologies,"rest,python,django,git,postgresql,sql,docker",few days ago
8,destinyhrgroupservices,"fundamentals,python,css,javascript,jquery,database,django,java,json,html",4 days ago
9,xoniertechnologiespvtltd,"python,django,testingtools,debugging,storage",few days ago
10,InnOvatorWebSolutionsPvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",few days ago
11,AxisTechnolabs,"python,django,itskills,html5,api,jquery",few days ago
12,CIGNEXDatamaticsTechnologiesPvtLtd,"python,sql,django,postgresql,writtencommunication,api,angularjs",few days ago
13,SourcedeskGlobalPrivateLimited,"html5,storage,python,javascript,django,infrastructure",few days ago
14,MODEFINSERVERPRIVATELIMITED,"python,webrtc,html5,javascript,database,django,postgresql,linux,debugging,sockets",4 days ago
15,beechividyakendra,"bigdata/python,aws,backendwebdevelopment,flask/django/fastapi,ci/cdpractices,technologyconsulting",4 days ago
16,MODEFINSERVERPRIVATELIMITED,"python,css,machinelearning,artificialintelligence,javascript,sql,django,html,dash",4 days ago
17,NLivenTechnologiesPvt.Ltd.,"rest,python,html5,javascript,jquery,nosql,security,django,git,oops,mysql",4 days ago
18,CONNECTING2WORK,"python,storage,django,testingtools,debugging",few days ago
19,innefulabspvt.ltd.,"python,database,django,neo4j,mining,webcrawling",few days ago
